"Svc","Vsl","Voy","Dir","Facility","Berth.LTA","LTD","Berth.ETA.ATA","ETD.ATD","Arr..Diff.","Dep..Diff","X","portTime","LportTime","arrDiff","depDiff","SeaT","PSeaT"
"SSX","ONB",45,"W","ZIA",2008-12-31 20:00:00,2009-01-01 16:00:00,2008-12-31 14:01:00,2009-01-01 07:42:00,"-6","-8",NA,17.6833333333333,20,-5.98333333333333,-8.3,24.0666666666667,16
"SSX","ONB",45,"W","HKG",2009-01-02 08:00:00,2009-01-02 21:00:00,2009-01-02 07:46:00,2009-01-02 19:27:00,"0","-2",NA,11.6833333333333,13,-0.233333333333333,-1.55,2.13333333333333,10
"SSX","ONB",45,"W","SKZ",2009-01-03 07:00:00,2009-01-03 15:00:00,2009-01-02 21:35:00,2009-01-03 09:30:00,"-9","-6",NA,11.9166666666667,8,-9.41666666666667,-5.5,NA,NA
"SSX","OHB",47,"W","KHH",2009-01-05 20:00:00,2009-01-07 00:00:00,2009-01-06 03:12:00,2009-01-06 15:14:00,"7","-9",NA,12.0333333333333,28,7.2,-8.76666666666667,26.1166666666667,20
"SSX","OHB",47,"W","ZIA",2009-01-07 20:00:00,2009-01-08 16:00:00,2009-01-07 17:21:00,2009-01-08 08:42:00,"-3","-7",NA,15.35,20,-2.65,-7.3,22.9166666666667,16
"SSX","OHB",47,"W","HKG",2009-01-09 08:00:00,2009-01-09 21:00:00,2009-01-09 07:37:00,2009-01-09 17:06:00,"0","-4",NA,9.48333333333333,13,-0.383333333333333,-3.9,2.73333333333333,10
"SSX","OHB",47,"W","SKZ",2009-01-10 07:00:00,2009-01-10 15:00:00,2009-01-09 19:50:00,2009-01-10 03:05:00,"-11","-12",NA,7.25,8,-11.1666666666667,-11.9166666666667,NA,NA
"SSX","OTJ",38,"W","KHH",2009-01-12 20:00:00,2009-01-14 00:00:00,2009-01-13 10:16:00,2009-01-13 20:39:00,"14","-3",NA,10.3833333333333,28,14.2666666666667,-3.35,16.3666666666667,20
"SSX","OTJ",38,"W","ZIA",2009-01-14 20:00:00,2009-01-15 16:00:00,2009-01-14 13:01:00,2009-01-15 05:40:00,"-7","-10",NA,16.65,20,-6.98333333333333,-10.3333333333333,25.7333333333333,16
"SSX","OTJ",38,"W","HKG",2009-01-16 08:00:00,2009-01-16 21:00:00,2009-01-16 07:24:00,2009-01-16 15:12:00,"-1","-6",NA,7.8,13,-0.6,-5.8,2.38333333333333,10
"SSX","OTJ",38,"W","SKZ",2009-01-17 07:00:00,2009-01-17 15:00:00,2009-01-16 17:35:00,2009-01-17 06:40:00,"-13","-8",NA,13.0833333333333,8,-13.4166666666667,-8.33333333333333,NA,NA
"SSX","OAS",20,"E","LGB",2009-01-03 09:00:00,2009-01-07 09:00:00,2009-01-03 20:30:00,2009-01-07 08:25:00,"12","-1",NA,83.9166666666667,96,11.5,-0.583333333333333,312.416666666667,299
"SSX","OAS",20,"W","KHH",2009-01-19 20:00:00,2009-01-21 00:00:00,2009-01-20 08:50:00,2009-01-20 17:43:00,"13","-6",NA,8.88333333333333,28,12.8333333333333,-6.28333333333333,19.85,20
